Rekorderlig Skogsbär,19.3,38.6,Cider,7.00%,500,Söt,181
Kopparberg Cider,18.2,41.36,Cider,7.00%,440,Söt,169
Kopparberg Cider,18.2,41.36,Cider,7.00%,440,Söt,169
Lustgårdens Cider,17.2,34.4,Cider,4.50%,500,Torr och halvtorr,131
Kopparberg Cider Päron,15.1,34.32,Cider,4.50%,440,Söt,131
Kopparberg Cider,17.2,34.4,Cider,4.50%,500,Torr och halvtorr,131
Rekorderlig Strawberry-Lime,12.6,38.18,Cider,4.50%,330,Söt,118
Rekorderlig Skogsbär,12.6,38.18,Cider,4.50%,330,Söt,118
Rekorderlig Päron,12.6,38.18,Cider,4.50%,330,Söt,118
Rekorderlig Krusbär,12.6,38.18,Cider,4.50%,330,Söt,118
Hannas Cider Rosé,17.2,52.12,Cider,6.00%,330,Torr och halvtorr,115
Premium Brand Klassiker Cider,20.2,61.21,Cider,7.00%,330,Torr och halvtorr,114
Gaymer's,52.7,52.7,Cider,6.00%,1000,Torr och halvtorr,114
Vikbo Cider,13.1,39.7,Cider,4.50%,330,Söt,113
Hannas Peach Melba,13.1,39.7,Cider,4.50%,330,Söt,113
Briska,13.7,41.52,Cider,4.50%,330,Söt,108
Vikbo Cider,14,42.42,Cider,4.50%,330,Söt,106
Wyld Wood,30.3,60.6,Cider,6.00%,500,Torr och halvtorr,099
Somersby,15.1,45.76,Cider,4.50%,330,Söt,098
Somersby,15.1,45.76,Cider,4.50%,330,Söt,098
Crowmoor,15.1,45.76,Cider,4.50%,330,Torr och halvtorr,098
Kiviks Skånsk Äppelcider,20.1,73.09,Cider,7.00%,275,Torr och halvtorr,096
Kiviks,16,48.49,Cider,4.50%,330,Torr och halvtorr,093
Briska Päron,15.9,48.18,Cider,4.50%,330,Söt,093
Briska,15.9,48.18,Cider,4.50%,330,Söt,093
Briska,15.9,48.18,Cider,4.50%,330,Söt,093
Vikbo Cider,16.1,48.79,Cider,4.50%,330,Söt,092
Herrljunga Cider,16.1,48.79,Cider,4.50%,330,Söt,092
Strongbow,18.2,55.15,Cider,5.00%,330,Torr och halvtorr,091
Somersby,17.1,51.82,Cider,4.50%,330,Söt,087
Somersby,17.1,51.82,Cider,4.50%,330,Söt,087
Herrljunga Cider Organic,17.1,51.82,Cider,4.50%,330,Söt,087
Bulmers,30.1,52.99,Cider,4.50%,568,Torr och halvtorr,085
Somersby,18.1,54.85,Cider,4.50%,330,Söt,082
Somersby,18.1,54.85,Cider,4.50%,330,Söt,082
Magners,18.1,54.85,Cider,4.50%,330,Torr och halvtorr,082
Kiviks Ekologisk Päroncider,19.1,57.88,Cider,4.50%,330,Torr och halvtorr,078
Kiviks Ekologisk Äppelcider med smak av Fläderblom,19.1,57.88,Cider,4.50%,330,Torr och halvtorr,078
Kiviks Ekologisk Äppelcider,19.1,57.88,Cider,4.50%,330,Torr och halvtorr,078
Kiviks Ekologisk Äppelcider,19.1,57.88,Cider,4.50%,330,Torr och halvtorr,078
Cidre Biologique,49.5,66,Cider,5.00%,750,Torr och halvtorr,076
Ecusson,49.3,65.73,Cider,4.50%,750,Torr och halvtorr,068
Boulard Cidre de Normandie,50.3,67.07,Cider,4.50%,750,Torr och halvtorr,067
Cidraie,22.1,66.97,Cider,4.00%,330,Torr och halvtorr,060
