Aalborg Jubilæums Akvavit,251,358.57,Kryddad sprit,40.00%,700,,112
Lysholm Linie Aquavit,266,380,Kryddad sprit,41.50%,700,,109
Skåne Akvavit,246,351.43,Kryddad sprit,38.00%,700,,108
Hallands Fläder,247,352.86,Kryddad sprit,38.00%,700,,108
O.P. Anderson Aquavit,266,380,Kryddad sprit,40.00%,700,,105
Løitens Export Aquavit,191,382,Kryddad sprit,40.00%,500,,105
Piratens Besk,221,315.71,Kryddad sprit,32.00%,700,,101
Aalborg Jubilæums Akvavit,140,400,Kryddad sprit,40.00%,350,,100
Skåne Akvavit,134,382.86,Kryddad sprit,38.00%,350,,099
Svartvinbärsbrännvin,136,388.57,Kryddad sprit,38.00%,350,,098
Hallands Fläder,136,388.57,Kryddad sprit,38.00%,350,,098
O.P. Anderson Aquavit,145,414.29,Kryddad sprit,40.00%,350,,097
Gammal Norrlands,207,414,Kryddad sprit,40.00%,500,,097
Utö,201,402,Kryddad sprit,38.00%,500,,095
Östgöta Sädesbrännvin,211,422,Kryddad sprit,40.00%,500,,095
Herrgårds Aquavit,211,422,Kryddad sprit,40.00%,500,,095
Bäska Droppar,211,422,Kryddad sprit,40.00%,500,,095
Gammel Opland Aquavit,311,444.29,Kryddad sprit,41.50%,700,,093
Rånäs Brännvin,207,414,Kryddad sprit,38.00%,500,,092
Nyköpings Brännvin,207,414,Kryddad sprit,38.00%,500,,092
Läckö Slottsaquavit,207,414,Kryddad sprit,38.00%,500,,092
Norsk Aquavit,231,462,Kryddad sprit,41.00%,500,,089
Svenska nubbar,227,454,Kryddad sprit,39.20%,500,,086
Skärgårdssnapsar,221,442,Kryddad sprit,36.20%,500,,082
Snälleröds,126,504,Kryddad sprit,38.80%,250,,077
Västkustsnaps,241,482,Kryddad sprit,35.00%,500,,073
En Back Snaps,291,485,Kryddad sprit,35.00%,600,,072
