Disaronno,170,340,Likör,28.00%,500,"Choklad-, kaffe- och nötlikör",082
Malibu,151,302,Likör,21.00%,500,"Choklad-, kaffe- och nötlikör",070
Cafetino,180,257.14,Likör,17.00%,700,"Choklad-, kaffe- och nötlikör",066
Tia Maria,120,342.86,Likör,20.00%,350,"Choklad-, kaffe- och nötlikör",058
Frangelico,126,360,Likör,20.00%,350,"Choklad-, kaffe- och nötlikör",056
Kahlúa,256,365.71,Likör,20.00%,700,"Choklad-, kaffe- och nötlikör",055
Kahlúa,195,390,Likör,20.00%,500,"Choklad-, kaffe- och nötlikör",051
Molinari Sambuca,201,402,Likör,40.00%,500,Krydd- och örtlikör,100
De Kuyper,201,402,Likör,40.00%,500,Frukt- och bärlikör,100
Southern Comfort,257,367.14,Likör,35.00%,700,Frukt- och bärlikör,095
Hot n'Sweet,241,344.29,Likör,32.00%,700,Krydd- och örtlikör,093
Drambuie,301,430,Likör,40.00%,700,Krydd- och örtlikör,093
Minttu,191,382,Likör,35.00%,500,Övriga likörer,092
Minttu,191,382,Likör,35.00%,500,Krydd- och örtlikör,092
Minttu,191,382,Likör,35.00%,500,Krydd- och örtlikör,092
Valhalla,192,384,Likör,35.00%,500,Krydd- och örtlikör,091
Ga-Jol Orginal,231,330,Likör,30.00%,700,Övriga likörer,091
Fishshot,231,330,Likör,30.00%,700,Krydd- och örtlikör,091
Jägermeister,271,387.14,Likör,35.00%,700,Krydd- och örtlikör,090
Cointreau,311,444.29,Likör,40.00%,700,Frukt- och bärlikör,090
Southern Comfort,140,400,Likör,35.00%,350,Frukt- och bärlikör,088
Merrys White Chocolate,139,198.57,Likör,17.00%,700,Grädd- och ägglikör,086
Dragon Blood,291,582,Likör,50.00%,500,Övriga likörer,086
Shot 4.4,150,300,Likör,25.00%,500,Övriga likörer,083
Xanté,231,462,Likör,38.00%,500,Frukt- och bärlikör,082
Licor 43,190,380,Likör,31.00%,500,Krydd- och örtlikör,082
Jägermeister,150,428.57,Likör,35.00%,350,Krydd- och örtlikör,082
Fireball,201,402,Likör,33.00%,500,Krydd- och örtlikör,082
Drambuie,170,485.71,Likör,40.00%,350,Krydd- och örtlikör,082
Peachtree,176,251.43,Likör,20.00%,700,Frukt- och bärlikör,080
De Kuyper,150,300,Likör,24.00%,500,Frukt- och bärlikör,080
Cointreau,176,502.86,Likör,40.00%,350,Frukt- och bärlikör,080
Limoncello di Capri,190,380,Likör,30.00%,500,Frukt- och bärlikör,079
Jack Daniel's,311,444.29,Likör,35.00%,700,Övriga likörer,079
Galliano,190,380,Likör,30.00%,500,Krydd- och örtlikör,079
Country Lane,150,214.29,Likör,17.00%,700,Grädd- och ägglikör,079
Grand Marnier,271,542,Likör,40.00%,500,Frukt- och bärlikör,074
Bols Blue,150,300,Likör,21.00%,500,Frukt- och bärlikör,070
Bols,162,270,Likör,19.00%,600,Frukt- och bärlikör,070
Pisang Ambon,150,300,Likör,20.00%,500,Frukt- och bärlikör,067
Tegnér & Son,90,257.14,Likör,17.00%,350,Grädd- och ägglikör,066
Baja Päron,160,228.57,Likör,15.00%,700,Grädd- och ägglikör,066
Arancello,191,382,Likör,25.00%,500,Frukt- och bärlikör,065
Lapponia Hjortron,164,328,Likör,21.00%,500,Frukt- och bärlikör,064
Passoã,190,271.43,Likör,17.00%,700,Frukt- och bärlikör,063
Jägermeister,100,555.56,Likör,35.00%,180,Krydd- och örtlikör,063
Dooley's,190,271.43,Likör,17.00%,700,Grädd- och ägglikör,063
Amarula Cream,190,271.43,Likör,17.00%,700,Grädd- och ägglikör,063
Sourz,170,242.86,Likör,15.00%,700,Frukt- och bärlikör,062
Sourz,170,242.86,Likör,15.00%,700,Frukt- och bärlikör,062
Sourz,170,242.86,Likör,15.00%,700,Frukt- och bärlikör,062
Midori,160,320,Likör,20.00%,500,Frukt- och bärlikör,062
Hpnotiq,200,285.71,Likör,17.00%,700,Frukt- och bärlikör,060
Baileys,200,285.71,Likör,17.00%,700,Grädd- och ägglikör,060
Baileys,200,285.71,Likör,17.00%,700,Grädd- och ägglikör,060
Bols Crème de Banana,150,300,Likör,17.00%,500,Frukt- och bärlikör,057
Amarula Cream,105,300,Likör,17.00%,350,Grädd- och ägglikör,057
Passoã,110,314.29,Likör,17.00%,350,Frukt- och bärlikör,054
Baileys,110,314.29,Likör,17.00%,350,Grädd- och ägglikör,054
Kirsch Likör,160,320,Likör,17.00%,500,Frukt- och bärlikör,053
Advocaat,150,300,Likör,15.00%,500,Grädd- och ägglikör,050
Tequila Rose,160,320,Likör,15.00%,500,Grädd- och ägglikör,047
Rhuby,300,428.57,Likör,20.00%,700,Frukt- och bärlikör,047
Crème de Cassis,160,320,Likör,15.00%,500,Frukt- och bärlikör,047
Sheridan's Original,170,340,Likör,15.50%,500,Grädd- och ägglikör,046
Lejonet & Björnen Glasslikör,190,380,Likör,15.00%,500,Grädd- och ägglikör,039
Lejonet & Björnen,190,380,Likör,15.00%,500,Grädd- och ägglikör,039
Chambord,250,500,Likör,16.50%,500,Frukt- och bärlikör,033
Bols Foam,379,631.67,Likör,18.00%,600,Frukt- och bärlikör,028
