Special Brew,19.4,38.8,Öl,10.00%,500,Ljus lager,258
Sju komma tvåan,14.3,28.6,Öl,7.20%,500,Ljus lager,252
Pripps Extra Stark,14.3,28.6,Öl,7.20%,500,Ljus lager,252
Sofiero Original,15.3,30.6,Öl,7.50%,500,Ljus lager,245
Bjørnebryg,14.9,29.8,Öl,7.20%,500,Ljus lager,242
Arboga 10.2,21.4,42.8,Öl,10.20%,500,Ljus lager,238
Three Hearts,15.9,31.8,Öl,7.50%,500,Ljus lager,236
Kung,11.2,22.4,Öl,5.20%,500,Ljus lager,232
Crocodile Lager,11.2,22.4,Öl,5.20%,500,Ljus lager,232
Special Brew,9.1,27.58,Öl,6.30%,330,Ljus lager,228
Three Hearts,11.5,23,Öl,5.20%,500,Ljus lager,226
Åbro Original,10.7,32.42,Öl,7.30%,330,Ljus lager,225
Blågul,11.6,23.2,Öl,5.20%,500,Ljus lager,224
Arboga 7.7,17.3,34.6,Öl,7.70%,500,Ljus lager,223
Fem komma tvåan,11.7,23.4,Öl,5.20%,500,Ljus lager,222
Norrlands Guld,16,32,Öl,7.00%,500,Ljus lager,219
Millennium,11.7,23.4,Öl,5.10%,500,Ljus lager,218
Stockholm Festival,12.2,24.4,Öl,5.30%,500,Ljus lager,217
Sarek,12,24,Öl,5.20%,500,Ljus lager,217
Sofiero Original,12.2,24.4,Öl,5.20%,500,Ljus lager,213
Åbro Original,12.2,24.4,Öl,5.20%,500,Ljus lager,213
Stockholm Festival,11.2,33.94,Öl,7.20%,330,Ljus lager,212
Sofiero Original,8.1,24.55,Öl,5.20%,330,Ljus lager,212
Fem komma tvåan,8.1,24.55,Öl,5.20%,330,Ljus lager,212
Spendrups Premium Gold,14.2,28.4,Öl,5.90%,500,Ljus lager,208
Bear Beer,11.2,33.94,Öl,7.00%,330,Ljus lager,206
Åbro Original,11.7,35.46,Öl,7.30%,330,Ljus lager,206
Pripps Blå,12.2,24.4,Öl,5.00%,500,Ljus lager,205
Swedish Elk Brew,12.2,36.97,Öl,7.50%,330,Ljus lager,203
Åbro Export,8.6,26.06,Öl,5.30%,330,Ljus lager,203
Falcon Export,13.2,26.4,Öl,5.20%,500,Ljus lager,197
Bellman 6.0,15.2,30.4,Öl,6.00%,500,Ljus lager,197
Arboga 7.3,12.2,36.97,Öl,7.30%,330,Ljus lager,197
Svensk Starköl,8.6,26.06,Öl,5.10%,330,Ljus lager,196
Guldkällan,9.7,29.39,Öl,5.70%,330,Ljus lager,194
Bryggmästarens Premium Guld,14.7,29.4,Öl,5.70%,500,Ljus lager,194
Norrlands Guld,13.8,27.6,Öl,5.30%,500,Ljus lager,192
Fagerhult,9.1,27.58,Öl,5.30%,330,Ljus lager,192
Småland,9.1,27.58,Öl,5.20%,330,Ljus lager,189
DAB,13.2,26.4,Öl,5.00%,500,Ljus lager,189
Bryggmästarens,13.2,26.4,Öl,5.00%,500,Ljus lager,189
Falcon Export,13.8,27.6,Öl,5.20%,500,Ljus lager,188
Arboga 5.6,15,30,Öl,5.60%,500,Ljus lager,187
Lapin Kulta,14.1,28.2,Öl,5.20%,500,Ljus lager,184
Mariestads Old Ox,19,38,Öl,6.90%,500,Ljus lager,182
Mariestads Old Ox,19,38,Öl,6.90%,500,Ljus lager,182
Guldkällan,8.7,26.36,Öl,4.80%,330,Ljus lager,182
Dansk Fadøl,9.1,27.58,Öl,5.00%,330,Ljus lager,181
Zeunerts Original,9.7,29.39,Öl,5.30%,330,Ljus lager,180
Spendrups Bright,14.2,28.4,Öl,5.00%,500,Ljus lager,176
Åbro Lejon,11.2,33.94,Öl,5.90%,330,Ljus lager,174
Norrlands Guld,10.1,30.61,Öl,5.30%,330,Ljus lager,173
TT,13.2,26.4,Öl,4.50%,500,Ljus lager,170
Sofiero Original,10.1,30.61,Öl,5.20%,330,Ljus lager,170
Falcon Export,10.1,30.61,Öl,5.20%,330,Ljus lager,170
