Casas Patronales,61,61,Rosévin,13.00%,1000,Friskt & Bärigt,213
Rosie,66,66,Rosévin,13.50%,1000,Fruktigt & Smakrikt,205
Casas Patronales,193,64.33,Rosévin,13.00%,3000,Fruktigt & Smakrikt,202
Juno Rosé,193,64.33,Rosévin,12.50%,3000,Fruktigt & Smakrikt,194
Stellenrust,203,67.67,Rosévin,13.00%,3000,Fruktigt & Smakrikt,192
Girasol Organic Wine,203,67.67,Rosévin,13.00%,3000,Fruktigt & Smakrikt,192
Åkesson Oz Rozz,67,67,Rosévin,12.50%,1000,Fruktigt & Smakrikt,187
Puycheric,203,67.67,Rosévin,12.50%,3000,Friskt & Bärigt,185
AUSSIE Flamingo Blush,65,65,Rosévin,12.00%,1000,Fruktigt & Smakrikt,185
Chill Out,203,67.67,Rosévin,12.00%,3000,Fruktigt & Smakrikt,177
De Bortoli,218,72.67,Rosévin,12.50%,3000,Fruktigt & Smakrikt,172
The Big Zin,203,67.67,Rosévin,11.50%,3000,Fruktigt & Smakrikt,170
Adobe,213,71,Rosévin,11.50%,3000,Friskt & Bärigt,162
Poggio Rosato Toscana,223,74.33,Rosévin,12.00%,3000,Fruktigt & Smakrikt,161
Leva,63,84,Rosévin,13.50%,750,Fruktigt & Smakrikt,161
Les Fumées Blanches,234,78,Rosévin,12.50%,3000,Friskt & Bärigt,160
Mulderbosch,243,81,Rosévin,12.50%,3000,Friskt & Bärigt,154
HandCraft,213,71,Rosévin,10.50%,3000,Fruktigt & Smakrikt,148
Coteaux d'Aix en Provence,273,91,Rosévin,13.00%,3000,Friskt & Bärigt,143
Via del Campo,70,93.33,Rosévin,13.00%,750,Fruktigt & Smakrikt,139
JP Chenet,65,86.67,Rosévin,12.00%,750,Friskt & Bärigt,138
Tr3 Apor,66,88,Rosévin,12.00%,750,Fruktigt & Smakrikt,136
Spring Village,67,89.33,Rosévin,12.00%,750,Fruktigt & Smakrikt,134
Puycheric,70,93.33,Rosévin,12.50%,750,Friskt & Bärigt,134
