Real Tesoro,74,98.67,Sherry,15.00%,750,Halvtorr,152
Vintry's Blend of Oloroso,97,129.33,Sherry,18.50%,750,Halvtorr,143
Vintry's Royal Cream,101,134.67,Sherry,17.50%,750,Söt,130
Vintry's Blend of Amontillado,107,142.67,Sherry,18.50%,750,Halvtorr,130
Bristol Cream,101,134.67,Sherry,17.50%,750,Söt,130
Real Tesoro,46,122.67,Sherry,15.00%,375,Halvtorr,122
Vintry's Blend of Amontillado,60,160,Sherry,18.50%,375,Halvtorr,116
Doña Alicia,50,133.33,Sherry,15.00%,375,Torr,113
Dry Sack,101,134.67,Sherry,15.00%,750,Halvtorr,111
Bristol Cream,64,170.67,Sherry,17.50%,375,Söt,103
La Guita,55,146.67,Sherry,15.00%,375,Torr,102
Dry Sack,56,149.33,Sherry,15.00%,375,Halvtorr,100
Tio Pepe,60,160,Sherry,15.00%,375,Torr,094
Real Tesoro del Principe Amontillado,80,213.33,Sherry,18.50%,375,Torr,087
Cuco,86,229.33,Sherry,19.50%,375,Torr,085
Fino Inocente,70,186.67,Sherry,15.00%,375,Torr,080
Monteagudo,93,248,Sherry,19.00%,375,Torr,077
Monteagudo,94,250.67,Sherry,17.50%,375,Söt,070
Lustau Solera Reserva,100,266.67,Sherry,18.50%,375,Torr,069
Lustau La Ina,81,216,Sherry,15.00%,375,Torr,069
Palo Cortado,221,294.67,Sherry,19.00%,750,Torr,064
Don Guido,200,533.33,Sherry,18.00%,375,Söt,034
