Perlino,81,108,Vermouth,15.00%,750,Vit söt,139
Marezzo,81,108,Vermouth,14.90%,750,Vit söt,138
Marezzo,85,113.33,Vermouth,14.90%,750,Vit torr,131
Martini,101,134.67,Vermouth,15.00%,750,Vit torr,111
Martini,101,134.67,Vermouth,15.00%,750,Vit söt,111
Martini,101,134.67,Vermouth,15.00%,750,Röd söt,111
Noilly Prat,131,174.67,Vermouth,18.00%,750,Vit torr,103
Noilly Prat,70,186.67,Vermouth,18.00%,375,Vit torr,096
Martini,66,176,Vermouth,15.00%,375,Vit torr,085
Martini,66,176,Vermouth,15.00%,375,Vit söt,085
Martini,66,176,Vermouth,15.00%,375,Röd söt,085
