Castillo de Gredos,153,51,Vitt vin,12.00%,3000,Lätt & Avrundat,235
Viña Maipo,154,51.33,Vitt vin,11.50%,3000,Friskt & Fruktigt,224
Zumbali,173,57.67,Vitt vin,12.50%,3000,Friskt & Fruktigt,217
Leva,183,61,Vitt vin,13.00%,3000,Friskt & Fruktigt,213
il Nostro,183,61,Vitt vin,13.00%,3000,Druvigt & Blommigt,213
Foot of Africa,183,61,Vitt vin,13.00%,3000,Friskt & Fruktigt,213
Robertson,193,64.33,Vitt vin,13.50%,3000,Friskt & Fruktigt,210
Drostdy-Hof,183,61,Vitt vin,12.50%,3000,Friskt & Fruktigt,205
Bianco Vino Italiano,54,54,Vitt vin,11.00%,1000,Friskt & Fruktigt,204
Inycon,193,64.33,Vitt vin,13.00%,3000,Friskt & Fruktigt,202
Hardys Nottage Hill,101,67.33,Vitt vin,13.50%,1500,Friskt & Fruktigt,201
Prego Bianco,65,65,Vitt vin,13.00%,1000,Lätt & Avrundat,200
Castillo de Gredos,60,60,Vitt vin,12.00%,1000,Lätt & Avrundat,200
Oude Kaap,203,67.67,Vitt vin,13.50%,3000,Friskt & Fruktigt,199
Opal Springs,203,67.67,Vitt vin,13.50%,3000,Fylligt & Smakrikt,199
Mandala,203,67.67,Vitt vin,13.50%,3000,Friskt & Fruktigt,199
Chapel Hill,183,61,Vitt vin,12.00%,3000,Druvigt & Blommigt,197
Cape Heights,61,61,Vitt vin,12.00%,1000,Friskt & Fruktigt,197
California White,183,61,Vitt vin,12.00%,3000,Lätt & Avrundat,197
AUSSIE Great White,66,66,Vitt vin,13.00%,1000,Friskt & Fruktigt,197
Casas Patronales,193,64.33,Vitt vin,12.50%,3000,Friskt & Fruktigt,194
99 Rosas,67,67,Vitt vin,13.00%,1000,Friskt & Fruktigt,194
Chill Out,203,67.67,Vitt vin,13.00%,3000,Friskt & Fruktigt,192
The Sugar Skull,61,61,Vitt vin,11.50%,1000,Druvigt & Blommigt,189
Fair & Square,66,66,Vitt vin,12.50%,1000,Druvigt & Blommigt,189
Lupi Reali,203,67.67,Vitt vin,12.50%,3000,Friskt & Fruktigt,185
KWV,203,67.67,Vitt vin,12.50%,3000,Druvigt & Blommigt,185
Ecologica,203,67.67,Vitt vin,12.50%,3000,Druvigt & Blommigt,185
California White,68,68,Vitt vin,12.50%,1000,Lätt & Avrundat,184
KWV Chardonnay,213,71,Vitt vin,13.00%,3000,Friskt & Fruktigt,183
Drostdy-Hof,213,71,Vitt vin,13.00%,3000,Friskt & Fruktigt,183
Frontera,55,73.33,Vitt vin,13.00%,750,Friskt & Fruktigt,177
Pasqua Sanzeno,213,71,Vitt vin,12.50%,3000,Friskt & Fruktigt,176
Moncaro,213,71,Vitt vin,12.50%,3000,Friskt & Fruktigt,176
Husets Vita,68,68,Vitt vin,12.00%,1000,Lätt & Avrundat,176
SomeZin,223,74.33,Vitt vin,13.00%,3000,Fylligt & Smakrikt,175
Torres Las Mulas,223,74.33,Vitt vin,12.50%,3000,Friskt & Fruktigt,168
Lindemans,233,77.67,Vitt vin,13.00%,3000,Fylligt & Smakrikt,167
Monti Garbi,229,76.33,Vitt vin,12.50%,3000,Friskt & Fruktigt,164
Viña Maipo,60,80,Vitt vin,13.00%,750,Friskt & Fruktigt,162
Sunrise,60,80,Vitt vin,13.00%,750,Friskt & Fruktigt,162
Palazzo,60,80,Vitt vin,13.00%,750,Friskt & Fruktigt,162
La Revedere,60,80,Vitt vin,13.00%,750,Lätt & Avrundat,162
Indomita,60,80,Vitt vin,13.00%,750,Friskt & Fruktigt,162
Finca La Colonia,60,80,Vitt vin,13.00%,750,Friskt & Fruktigt,162
Las Moras,233,77.67,Vitt vin,12.50%,3000,Fylligt & Smakrikt,161
